pac00,[tfm=net5.0;altDep=netstandard2.0]CommunityToolkit.Common,7.0.3
pac01,[tfm=net5.0-windows10.0.18362;altDep=netstandard2.0]CommunityToolkit.Diagnostics,7.0.3
pac02,[tfm=netstandard2.0]CommunityToolkit.HighPerformance,7.0.3
pac03,[tfm=uap10.0.17763;altDep=netstandard2.0]CommunityToolkit.Mvvm,7.0.3
pac05,[tfm=net5.0-windows10.0.18362;altDep=netstandard2.0]CommunityToolkit.WinUI.Connectivity,7.0.3
pac06,[tfm=net5.0-windows10.0.18362;altDep=netstandard2.0]CommunityToolkit.WinUI.DeveloperTools,7.0.3
pac07,[tfm=net5.0-windows10.0.18362;altDep=netstandard2.0]CommunityToolkit.WinUI.Input.GazeInteraction,7.0.3
pac08,[tfm=net5.0-windows10.0.18362;altDep=netstandard2.0]CommunityToolkit.WinUI.Notifications,7.0.3
pac18,[tfm=net5.0-windows10.0.18362;altDep=netstandard2.0]CommunityToolkit.WinUI.UI.Controls.Primitives,7.0.3
pac22,[tfm=net5.0;altDep=net5.0]Microsoft.Toolkit,7.0.2
pac23,[altDep=net5.0]Microsoft.Toolkit.Diagnostics,7.0.2
pac24,[tfm=uap10.0.17763;altDep=netstandard2.0;isPrerelease=true]Microsoft.Toolkit.Graph,7.0.0-preview2
pac25,[tfm=uap10.0.17763;altDep=netstandard2.0;isPrerelease=true]Microsoft.Toolkit.Graph.Controls,7.0.0-preview2
pac26,[tfm=net5.0;altDep=net5.0]Microsoft.Toolkit.HighPerformance,7.0.2
pac27,[altDep=net5.0]Microsoft.Toolkit.Mvvm,7.0.2
pac28,[tfm=uap10.0.17763;altDep=netstandard2.0]Microsoft.Toolkit.Uwp,7.0.2
pac29,[tfm=uap10.0.17763;altDep=netstandard2.0]Microsoft.Toolkit.Uwp.Connectivity,7.0.2
pac30,[tfm=uap10.0.17763;altDep=netstandard2.0]Microsoft.Toolkit.Uwp.DeveloperTools,7.0.2
pac31,[tfm=uap10.0.17763;altDep=netstandard1.6]Microsoft.Toolkit.Uwp.Input.GazeInteraction,7.0.2
pac32,[tfm=net5.0-windows10.0.17763;altDep=net5.0]Microsoft.Toolkit.Uwp.Notifications,7.0.2
pac33,[tfm=uap10.0.17763;altDep=netstandard2.0]Microsoft.Toolkit.Uwp.UI,7.0.2
pac34,[tfm=uap10.0.17763;altDep=netstandard2.0]Microsoft.Toolkit.Uwp.UI.Animations,7.0.2
pac35,[tfm=uap10.0.17763;altDep=netstandard2.0]Microsoft.Toolkit.Uwp.UI.Behaviors,7.0.2
pac36,[tfm=uap10.0.17763;altDep=netstandard2.0]Microsoft.Toolkit.Uwp.UI.Controls,7.0.2
pac37,[tfm=uap10.0.17763;altDep=netstandard2.0]Microsoft.Toolkit.Uwp.UI.Controls.Core,7.0.2
pac38,[tfm=uap10.0.17763;altDep=netstandard2.0]Microsoft.Toolkit.Uwp.UI.Controls.DataGrid,7.0.2
pac39,[tfm=uap10.0.17763;altDep=netstandard2.0]Microsoft.Toolkit.Uwp.UI.Controls.Input,7.0.2
pac40,[tfm=uap10.0.17763;altDep=netstandard2.0]Microsoft.Toolkit.Uwp.UI.Controls.Layout,7.0.2
pac41,[tfm=uap10.0.17763;altDep=netstandard2.0]Microsoft.Toolkit.Uwp.UI.Controls.Markdown,7.0.2
pac42,[tfm=uap10.0.17763;altDep=netstandard2.0]Microsoft.Toolkit.Uwp.UI.Controls.Media,7.0.2
pac43,[tfm=uap10.0.17763;altDep=netstandard2.0]Microsoft.Toolkit.Uwp.UI.Controls.Primitives,7.0.2
pac44,[tfm=uap10.0.16299;altDep=netstandard2.0]Microsoft.Toolkit.Uwp.UI.Lottie,7.0.5
pac45,[tfm=uap10.0.17763;altDep=netstandard2.0]Microsoft.Toolkit.Uwp.UI.Media,7.0.2
dependency,[altDep=net5.0;excludedDlls=*]Microsoft.Windows.SDK.NET.Ref,10.0.18362.10
pac04,[tfm=net5.0-windows10.0.18362;altDep=netstandard2.0]CommunityToolkit.WinUI,7.0.3
pac10,[tfm=net5.0-windows10.0.18362;altDep=netstandard2.0]CommunityToolkit.WinUI.UI.Animations,7.0.3
pac11,[tfm=net5.0-windows10.0.18362;altDep=netstandard2.0]CommunityToolkit.WinUI.UI.Behaviors,7.0.3
pac12,[tfm=net5.0-windows10.0.18362;altDep=netstandard2.0]CommunityToolkit.WinUI.UI.Controls.Core,7.0.3
pac13,[tfm=net5.0-windows10.0.18362;altDep=netstandard2.0]CommunityToolkit.WinUI.UI.Controls.DataGrid,7.0.3
pac14,[tfm=net5.0-windows10.0.18362;altDep=netstandard2.0]CommunityToolkit.WinUI.UI.Controls.Input,7.0.3
pac15,[tfm=net5.0-windows10.0.18362;altDep=netstandard2.0]CommunityToolkit.WinUI.UI.Controls.Layout,7.0.3
pac16,[tfm=net5.0-windows10.0.18362;altDep=netstandard2.0]CommunityToolkit.WinUI.UI.Controls.Markdown,7.0.3
pac17,[tfm=net5.0-windows10.0.18362;altDep=netstandard2.0]CommunityToolkit.WinUI.UI.Controls.Media,7.0.3
pac09,[tfm=net5.0-windows10.0.18362;altDep=netstandard2.0]CommunityToolkit.WinUI.UI,7.0.3
pac19,[tfm=net5.0-windows10.0.18362;altDep=netstandard2.0]CommunityToolkit.WinUI.UI.Media,7.0.3
